cat_type,category,subcategory,Fiscal 2019/20 Q2,Fiscal 2019/20 Q3,Fiscal 2019/20 Q4,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2
Spirits,Other Spirits,Moonshine Spirits,"$360,733","$400,499","$220,396","$387,007","$441,529"
Spirits,Other Spirits,Ready to Mix Cocktails,"$602,072","$455,267","$438,254","$397,969","$514,595"
Spirits,Other Spirits,Ready to Serve Cocktails,"$695,178","$875,285","$551,880","$1,049,488","$1,385,919"
Spirits,Other Spirits,Schnapps and Akvavit,"$62,805","$76,896","$57,349","$52,526","$66,348"
Spirits,Rum,Amber Rum,"$5,659,047","$7,618,934","$5,175,936","$6,139,612","$6,230,764"
Spirits,Rum,Dark Rum,"$2,521,038","$4,081,241","$2,845,892","$2,826,254","$2,769,460"
Spirits,Rum,Flavoured Rum,"$311,484","$241,962","$242,708","$818,329","$601,362"
Spirits,Rum,Spiced Rum,"$7,468,084","$12,280,914","$6,678,254","$7,742,164","$7,953,450"
Spirits,Rum,White Rum,"$7,508,840","$7,815,262","$6,232,424","$7,537,031","$7,584,905"
Spirits,Tequila,Blanco/Silver Tequila,"$4,788,962","$3,806,631","$3,632,968","$5,043,109","$5,652,830"
Spirits,Tequila,Flavoured Tequila,"$173,546","$133,560","$137,741","$237,141","$277,547"
Spirits,Tequila,Gold Tequila,"$7,521,873","$6,568,897","$5,477,409","$8,088,854","$9,353,952"
Spirits,Tequila,Mezcal,"$469,297","$513,936","$445,504","$587,008","$634,364"
Spirits,Vodka,Flavoured Vodka,"$4,803,140","$6,342,988","$4,699,419","$9,141,332","$7,353,608"
Spirits,Vodka,Straight Vodka,"$56,287,601","$57,372,892","$51,100,832","$57,444,722","$58,590,784"
Spirits,Whisky,American Whiskey,"$2,165,266","$2,860,535","$2,082,319","$2,402,183","$2,284,602"
Spirits,Whisky,Blended Malt Scotch Whisky,"$150,350","$392,390","$182,639","$228,830","$163,712"
Spirits,Whisky,Blended Scotch Whisky,"$7,095,421","$9,667,547","$7,488,015","$7,916,476","$6,972,812"
Spirits,Whisky,Bourbon Whiskey,"$3,819,642","$5,366,838","$4,092,620","$4,396,686","$4,249,758"
Spirits,Whisky,Canadian Whisky,"$28,021,971","$34,647,829","$26,169,145","$30,794,056","$28,219,104"
Spirits,Whisky,Flavoured Whisky,"$226,284","$360,617","$58,451","$50,787","$271,582"
Spirits,Whisky,Irish Whiskey,"$4,185,224","$5,910,416","$5,168,852","$3,831,866","$4,289,038"
Spirits,Whisky,Other Country Whisky,"$995,639","$1,399,644","$1,230,819","$980,632","$1,210,583"
Spirits,Whisky,Single Malt Scotch Whisky,"$8,576,014","$16,331,884","$8,749,041","$9,921,108","$8,913,831"
